page,edit_id,timestamp,summary
[[en:History of the world]],809140469,2017-11-07T10:36:06Z,
[[en:Timeline of the telephone]],809140237,2017-11-07T10:33:41Z,/* Up to 1875 */
[[en:Timeline of the telephone]],809140119,2017-11-07T10:32:10Z,/* 1970 to 1999 */
[[en:Timeline of the telephone]],809140005,2017-11-07T10:31:03Z,/* 1970 to 1999 */
[[en:Timeline of the telephone]],809139918,2017-11-07T10:29:55Z,/* 1970 to 1999 */
[[en:Timeline of the telephone]],808978601,2017-11-06T11:45:17Z,/* 1920 to 1969 */
[[en:Creativity]],780486062,2017-05-15T12:18:23Z,
[[en:Phaeoceros laevis]],761870408,2017-01-25T08:04:10Z,
[[en:Rhizomnium punctatum]],761698521,2017-01-24T08:52:35Z,
[[en:Rhizomnium punctatum]],761698302,2017-01-24T08:50:58Z,
[[en:The Storm (2009 film)]],759459751,2017-01-11T08:05:45Z,
"[[en:Bankhead, Atlanta]]",752078828,2016-11-29T11:03:56Z,
"[[en:Bankhead, Atlanta]]",752078737,2016-11-29T11:03:03Z,
[[en:José de San Martín]],747773277,2016-11-04T08:32:04Z,I changed his anme and made the correct facts
[[en:José de San Martín]],747773096,2016-11-04T08:29:12Z,I have corrected his name
[[en:Lucy]],726778231,2016-06-24T09:25:37Z,
[[en:Elena]],726778149,2016-06-24T09:24:43Z,
[[en:Lucy]],726778121,2016-06-24T09:24:17Z,
[[en:LEA]],726778027,2016-06-24T09:23:11Z,
[[en:Selin]],726777824,2016-06-24T09:20:40Z,
[[en:Once Upon a Time (TV series)]],726777672,2016-06-24T09:18:49Z,
[[en:Homo heidelbergensis]],702256385,2016-01-29T12:52:26Z,
[[en:Holy Trinity (Masaccio)]],685355546,2015-10-12T11:11:54Z,/* Comissioners and Donors */
[[en:Holy Trinity (Masaccio)]],685355167,2015-10-12T11:08:08Z,
[[en:666]],684417216,2015-10-06T14:23:29Z,
[[en:Danny Hall (baseball)]],684415576,2015-10-06T14:12:25Z,
[[en:666]],684413435,2015-10-06T13:58:03Z,
[[en:Danny Hall (baseball)]],684412123,2015-10-06T13:48:50Z,
[[en:Sandro Botticelli]],684411152,2015-10-06T13:41:30Z,
[[en:Trinity]],684411147,2015-10-06T13:41:28Z,
[[en:Danny Hall (baseball)]],684411144,2015-10-06T13:41:28Z,
[[en:Trinity]],684410636,2015-10-06T13:37:52Z,
[[en:Trinity]],684410324,2015-10-06T13:35:29Z,
[[en:Trinity]],684410289,2015-10-06T13:35:13Z,
[[en:Trinity]],684410166,2015-10-06T13:34:21Z,
[[en:Trinity]],684409808,2015-10-06T13:31:24Z,
[[en:The End of Poverty]],684381848,2015-10-06T08:52:32Z,
[[en:White supremacy]],684223435,2015-10-05T10:08:30Z,/* History of white supremacy */
[[en:Space travel]],656274893,2015-04-13T14:01:17Z,
page,edit_id,timestamp,summary
